model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.64154,0.67857,1.0,0.6086956521739131,0.35714,1.0,0.46625,"[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.71428571 0.71428571
 0.71428571 0.71428571 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.42857143
 0.57142857 0.64285714 0.64285714 0.78571429 0.78571429 1.        ]",0.7244897959183674
DecisionTree,0,0.70833,0.71429,0.8,0.6666666666666666,0.57143,0.85714,0.44721,"[0.         0.14285714 0.57142857 0.64285714 0.71428571 0.78571429
 0.92857143 0.92857143 1.         1.        ]","[0.         0.         0.14285714 0.14285714 0.42857143 0.57142857
 0.71428571 0.85714286 0.85714286 1.        ]",0.7500000000000001
KNN,0,0.58095,0.60714,0.7142857142857143,0.5714285714285714,0.35714,0.85714,0.24744,[0.         0.14285714 0.35714286 0.71428571 1.        ],[0.         0.         0.14285714 0.64285714 1.        ],0.6096938775510203
OneClassSVM,0,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429
 0.78571429 0.85714286 0.85714286 1.         1.        ]",0.5459183673469388
LocalOutlierFactor,0,0.50476,0.53571,0.5714285714285714,0.5238095238095238,0.28571,0.78571,0.08248,"[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.35714286 0.42857143 0.42857143 0.5        0.5
 0.57142857 0.57142857 0.71428571 0.71428571 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.21428571 0.21428571
 0.35714286 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.        ]",0.4744897959183674
IsolationForest,0,0.36652,0.46429,0.3333333333333333,0.48,0.07143,0.85714,-0.11547,"[0.         0.         0.         0.14285714 0.14285714 0.21428571
 0.21428571 0.5        0.5        0.78571429 0.78571429 0.85714286
 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 1.         1.        ]",0.4744897959183674
Xgboost,0,0.53333,0.57143,0.6666666666666666,0.5454545454545454,0.28571,0.85714,0.17408,"[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.21428571
 0.21428571 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429
 0.78571429 1.         1.        ]",0.6275510204081632
RandomForest,1,0.50877,0.57143,0.75,0.5416666666666666,0.21429,0.92857,0.20412,"[0.         0.07142857 0.14285714 0.14285714 0.35714286 0.42857143
 0.57142857 0.78571429 0.85714286 0.92857143 0.92857143 0.92857143
 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.21428571
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.92857143
 1.        ]",0.6607142857142857
DecisionTree,1,0.53544,0.60714,1.0,0.56,0.21429,1.0,0.34641,"[0.         0.14285714 0.21428571 0.57142857 0.64285714 0.78571429
 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.57142857
 0.71428571 0.71428571 1.         1.        ]",0.7448979591836735
KNN,1,0.58095,0.60714,0.7142857142857143,0.5714285714285714,0.35714,0.85714,0.24744,[0.         0.14285714 0.35714286 0.71428571 1.        ],[0.         0.         0.14285714 0.64285714 1.        ],0.6096938775510203
